EquipmentName,MaxLength,CampsiteID
Tent,0,45790
RV,27,45790
Trailer,25,45790
Tent,0,45483
RV,22,45483
Tent,0,45785
RV,35,45785
Trailer,26,45785
RV,35,45755
Trailer,35,45755
Tent,0,45755
Tent,0,45764
RV,35,45764
Trailer,35,45764
RV,0,102606
Trailer,40,102606
Trailer,40,102625
Tent,40,102625
RV,40,102625
RV,40,102622
Trailer,40,102622
Tent,40,102605
RV,40,102605
Trailer,40,102605
Trailer,39,102602
Tent,39,102602
RV,39,102602
Trailer,40,102613
Tent,40,102613
RV,40,102613
Trailer,40,102639
Tent,40,102639
RV,40,102639
Trailer,40,102638
Tent,40,102638
RV,40,102638
Trailer,36,102631
Tent,36,102631
RV,36,102631
RV,40,102634
Trailer,40,102634
RV,40,102621
Trailer,40,102621
Tent,37,102635
RV,37,102635
Trailer,37,102635
RV,40,102641
Trailer,40,102641
Trailer,35,102628
Tent,35,102628
RV,35,102628
Trailer,37,102630
Tent,37,102630
RV,37,102630
Trailer,40,102626
Tent,40,102626
RV,40,102626
RV,40,102616
Trailer,40,102616
Trailer,38,102612
Tent,38,102612
RV,38,102612
Trailer,40,102637
Tent,40,102637
RV,40,102637
Trailer,40,102603
Tent,40,102603
RV,40,102603
Trailer,37,102633
Tent,37,102633
RV,37,102633
Trailer,40,102632
Tent,40,102632
RV,40,102632
Trailer,40,102601
Tent,40,102601
RV,40,102601
Trailer,40,102620
Tent,40,102620
RV,40,102620
RV,40,102610
Trailer,40,102610
Trailer,38,102615
Tent,38,102615
RV,38,102615
RV,40,102614
Trailer,40,102614
RV,40,102629
Trailer,40,102629
RV,40,102636
Trailer,40,102636
Trailer,40,102623
Tent,40,102623
RV,40,102623
RV,40,102618
Trailer,40,102618
Trailer,35,102604
Tent,35,102604
RV,35,102604
RV,40,102609
Trailer,40,102609
Trailer,39,102608
Tent,39,102608
RV,39,102608
Trailer,35,102627
Tent,35,102627
RV,35,102627
Tent,40,102607
RV,40,102607
Trailer,40,102607
Trailer,30,102619
Tent,30,102619
RV,30,102619
Trailer,38,102611
Tent,38,102611
